Algorithm,N_pairs,Path_Length_mean,Path_Length_std,Curvature_mean,Curvature_std,Plan_Time_mean,Plan_Time_std,Composite
CNN-DDQN+Duel,25,26.005,6.1284,0.148373,0.0492,0.43703,0.11697,0.1097
CNN-DDQN+MD,25,26.0683,6.3108,0.147457,0.046849,0.34767,0.07745,0.1211
CNN-DQN+MD,25,26.1425,6.3395,0.15418,0.041566,0.36237,0.08268,0.2675
CNN-DQN,25,26.1286,6.3055,0.159903,0.041838,0.32149,0.09374,0.3103
CNN-DQN+Duel,25,26.2941,6.1089,0.157444,0.04003,0.33991,0.07585,0.4243
MLP-DQN,25,26.2514,6.1573,0.166083,0.060793,0.14543,0.03744,0.4261
CNN-DDQN,25,26.2839,6.2546,0.160114,0.06104,0.30398,0.07426,0.4355
MLP-DDQN,25,26.3882,6.3084,0.169467,0.045537,0.14419,0.03429,0.5792
CNN-DDQN+MHA,25,26.2779,6.1769,0.173067,0.059937,0.47348,0.10524,0.6419
CNN-DQN+MHA,25,26.6759,6.2384,0.175468,0.046775,0.42143,0.13306,0.9824
